cause_id,icd10,icd10_name
527,K26.1,Acute duodenal ulcer with perforation
507,I82.4,Acute embolism and thrombosis of deep veins of low extrm
507,I82.6,Acute embolism and thrombosis of veins of upper extremity
487,C94.0,Acute erythroid leukemia
328,J01.2,Acute ethmoidal sinusitis
328,J01.1,Acute frontal sinusitis
302,A08.1,Acute gastrent d/t Norwalk agent and oth small round viruses
527,K25.2,Acute gastric ulcer with both hemorrhage and perforation
527,K25.0,Acute gastric ulcer with hemorrhage
527,K25.3,Acute gastric ulcer without hemorrhage or perforation
527,K25.1,Acute gastric ulcer with perforation
528,K29.0,Acute gastritis
527,K28.2,Acute gastrojejunal ulcer w both hemorrhage and perforation
527,K28.0,Acute gastrojejunal ulcer with hemorrhage
527,K28.3,Acute gastrojejunal ulcer without hemorrhage or perforation
527,K28.1,Acute gastrojejunal ulcer with perforation
680,K05.0,Acute gingivitis
400,B16.0,Acute hepatitis B with delta-agent with hepatic coma
400,B16.1,Acute hepatitis B with delta-agent without hepatic coma
400,B16.2,Acute hepatitis B without delta-agent with hepatic coma
400,B16.9,Acute hepatitis B w/o delta-agent and without hepatic coma
400,B17.1,Acute hepatitis C
400,B17.2,Acute hepatitis E
669,H05.0,Acute inflammation of orbit
493,I24.9,"Acute ischemic heart disease, unspecified"
328,J04.0,Acute laryngitis
487,C95.0,Acute leukemia of unspecified cell type
653,L04.0,"Acute lymphadenitis of face, head and neck"
653,L04.3,Acute lymphadenitis of lower limb
653,L04.8,Acute lymphadenitis of other sites
653,L04.1,Acute lymphadenitis of trunk
653,L04.2,Acute lymphadenitis of upper limb
653,L04.9,"Acute lymphadenitis, unspecified"
487,C91.0,Acute lymphoblastic leukemia [ALL]
329,H70.0,Acute mastoiditis
669,H70.0,Acute mastoiditis
328,J01.0,Acute maxillary sinusitis
487,C94.2,Acute megakaryoblastic leukemia
332,A39.2,Acute meningococcemia
297,A19.0,Acute miliary tuberculosis of a single specified site
297,A19.1,Acute miliary tuberculosis of multiple sites
297,A19.2,"Acute miliary tuberculosis, unspecified"
487,C93.0,Acute monoblastic/monocytic leukemia
487,C92.0,Acute myeloblastic leukemia
487,C92.6,Acute myeloid leukemia with 11q23-abnormality
487,C92.5,Acute myelomonocytic leukemia
499,I40.9,"Acute myocarditis, unspecified"
669,H73.0,Acute myringitis
337,G04.3,Acute necrotizing hemorrhagic encephalopathy
588,N00.7,Acute nephritic syndrome w diffuse crescentic glomrlneph
588,N00.2,Acute nephritic syndrome w diffuse membranous glomrlneph
588,N00.5,Acute nephritic syndrome w diffuse mesangiocap glomrlneph
588,N00.6,Acute nephritic syndrome with dense deposit disease
588,N00.0,Acute nephritic syndrome with minor glomerular abnormality
588,N00.8,Acute nephritic syndrome with other morphologic changes
588,N00.9,Acute nephritic syndrome with unsp morphologic changes
588,N00.4,Acute neph syndrome w diffuse endocaplry prolif glomrlneph
588,N00.3,Acute neph syndrome w diffuse mesangial prolif glomrlneph
588,N00.1,Acute neph syndrome w focal and segmental glomerular lesions
669,H60.5,Acute noninfective otitis externa
408,A80.4,Acute nonparalytic poliomyelitis
507,I30.0,Acute nonspecific idiopathic pericarditis
328,J05.0,Acute obstructive laryngitis [croup]
535,K85.9,"Acute pancreatitis, unspecified"
487,C94.4,Acute panmyelosis with myelofibrosis
328,J01.4,Acute pansinusitis
408,A80.3,"Acute paralytic poliomyelitis, other and unspecified"
408,A80.0,"Acute paralytic poliomyelitis, vaccine-associated"
408,A80.1,"Acute paralytic poliomyelitis, wild virus, imported"
408,A80.2,"Acute paralytic poliomyelitis, wild virus, indigenous"
527,K27.0,"Acute peptic ulcer, site unspecified, with hemorrhage"
527,K27.1,"Acute peptic ulcer, site unspecified, with perforation"
527,K27.2,"Acute peptic ulcer, site unsp, w both hemorrhage and perf"
527,K27.3,"Acute peptic ulcer, site unsp, w/o hemorrhage or perforation"
507,I30.9,"Acute pericarditis, unspecified"
408,A80.9,"Acute poliomyelitis, unspecified"
487,C92.4,Acute promyelocytic leukemia
594,N41.0,Acute prostatitis
619,J95.2,Acute pulmonary insufficiency following nonthoracic surgery
619,J95.1,Acute pulmonary insufficiency following thoracic surgery
520,J70.0,Acute pulmonary manifestations due to radiation
842,L58.0,Acute radiodermatitis
492,I01.1,Acute rheumatic endocarditis
492,I01.9,"Acute rheumatic heart disease, unspecified"
492,I01.2,Acute rheumatic myocarditis
492,I01.0,Acute rheumatic pericarditis
669,H65.0,Acute serous otitis media
328,J01.9,"Acute sinusitis, unspecified"
842,L56.9,"Acute skin change due to ultraviolet radiation, unspecified"
328,J01.3,Acute sphenoidal sinusitis
567,F43.0,Acute stress reaction
585,F43.0,Acute stress reaction
669,H66.0,Acute suppurative otitis media
619,E06.0,Acute thyroiditis
557,G37.3,Acute transverse myelitis in demyelinating disease of cnsl
603,N76.0,Acute vaginitis
533,K55.0,Acute vascular disorders of intestine
400,B17.9,"Acute viral hepatitis, unspecified"
603,N76.2,Acute vulvitis
619,E27.2,Addisonian crisis
337,A85.1,Adenoviral encephalitis
302,A08.2,Adenoviral enteritis
332,A87.1,Adenoviral meningitis
322,J12.0,Adenoviral pneumonia
669,H17.0,Adherent leukoma
669,H74.1,Adhesive middle ear disease
567,F43.2,Adjustment disorders
585,F43.2,Adjustment disorders
619,E25.9,"Adrenogenital disorder, unspecified"
619,E27.5,Adrenomedullary hyperfunction
527,K31.1,Adult hypertrophic pyloric stenosis
627,M06.1,Adult-onset Still's disease
639,M42.1,Adult osteochondrosis of spine
487,C91.5,Adult T-cell lymphoma/leukemia (HTLV-1-associated)
350,B56.9,"African trypanosomiasis, unspecified"
379,O92.3,Agalactia
641,Q51.5,Agenesis and aplasia of cervix
641,Q51.0,Agenesis and aplasia of uterus
641,Q30.1,Agenesis and underdevelopment of nose
641,Q44.0,"Agenesis, aplasia and hypoplasia of gallbladder"
641,Q45.0,"Agenesis, aplasia and hypoplasia of pancreas"
641,Q33.3,Agenesis of lung
589,Q62.4,Agenesis of ureter
669,H25.2,"Age-related cataract, morgagnian type"
669,H25.0,Age-related incipient cataract
669,H25.1,Age-related nuclear cataract
639,M80.0,Age-related osteoporosis with current pathological fracture
639,M81.0,Age-related osteoporosis w/o current pathological fracture
680,K05.2,Aggressive periodontitis
571,F40.0,Agoraphobia
585,F40.0,Agoraphobia
619,D70.1,Agranulocytosis secondary to cancer chemotherapy
520,J67.7,Air conditioner and humidifier lung
520,J66.8,Airway disease due to other specific organic dusts
619,E70.3,Albinism
560,F10.1,Alcohol abuse
585,F10.1,Alcohol abuse
560,F10.2,Alcohol dependence
585,F10.2,Alcohol dependence
499,I42.6,Alcoholic cardiomyopathy
524,K70.3,Alcoholic cirrhosis of liver
524,K70.0,Alcoholic fatty liver
524,K70.2,Alcoholic fibrosis and sclerosis of liver
528,K29.2,Alcoholic gastritis
524,K70.4,Alcoholic hepatic failure
524,K70.1,Alcoholic hepatitis
524,K70.9,"Alcoholic liver disease, unspecified"
560,G72.1,Alcoholic myopathy
557,G72.1,Alcoholic myopathy
535,K85.2,Alcohol induced acute pancreatitis
535,K86.0,Alcohol-induced chronic pancreatitis
619,E24.4,Alcohol-induced pseudo-Cushing's syndrome
560,F10.9,"Alcohol use, unspecified"
585,F10.9,"Alcohol use, unspecified"
639,M89.0,Algoneurodystrophy
532,K52.2,Allergic and dietetic gastroenteritis and colitis
619,D69.0,Allergic purpura
520,J30.5,Allergic rhinitis due to food
520,J30.1,Allergic rhinitis due to pollen
520,J30.9,"Allergic rhinitis, unspecified"
408,B48.2,Allescheriasis
613,D56.0,Alpha thalassemia
510,J63.0,Aluminosis (of lung)
516,J84.0,Alveolar and parieto-alveolar conditions
543,G30.9,"Alzheimer's disease, unspecified"
543,G30.0,Alzheimer's disease with early onset
543,G30.1,Alzheimer's disease with late onset
494,G45.3,Amaurosis fugax
669,H53.0,Amblyopia ex anopsia
302,A06.9,"Amebiasis, unspecified"
302,A06.6,Amebic brain abscess
302,A06.8,Amebic infection of other sites
302,A06.4,Amebic liver abscess
302,A06.5,Amebic lung abscess
302,A06.2,Amebic nondysenteric colitis
302,A06.3,Ameboma of intestine
379,O88.1,Amniotic fluid embolism
708,Y83.5,"Amputation of limb(s) cause abn react/compl, w/o misadvnt"
641,Q06.0,Amyelia
541,K61.0,Anal abscess
541,K60.2,"Anal fissure, unspecified"
541,K60.3,Anal fistula
619,N14.0,Analgesic nephropathy
488,K62.0,Anal polyp
541,K62.0,Anal polyp
541,K62.2,Anal prolapse
541,K59.4,Anal spasm
367,O70.4,"Anal sphincter tear comp del, not assoc w third degree lac"
379,O70.4,"Anal sphincter tear comp del, not assoc w third degree lac"
485,C84.7,"Anaplastic large cell lymphoma, ALK-negative"
485,C84.6,"Anaplastic large cell lymphoma, ALK-positive"
708,Y83.2,"Anastomos,bypass or grft cause abn react/compl, w/o misadvnt"
619,E28.1,Androgen excess
619,E34.5,Androgen insensitivity syndrome
375,O99.0,"Anemia complicating pregnancy, childbirth and the puerperium"
613,D55.2,Anemia due to disorders of glycolytic enzymes
613,D55.3,Anemia due to disorders of nucleotide metabolism
613,D55.9,"Anemia due to enzyme disorder, unspecified"
613,D55.0,Anemia due to glucose-6-phosphate dehydrogenase deficiency
613,D55.1,Anemia due to other disorders of glutathione metabolism
589,D63.1,Anemia in chronic kidney disease
381,P61.2,Anemia of prematurity
641,Q00.0,Anencephaly
507,I79.0,Aneurysm of aorta in diseases classified elsewhere
507,I72.4,Aneurysm of artery of lower extremity
507,I72.1,Aneurysm of artery of upper extremity
507,I72.0,Aneurysm of carotid artery
493,I25.3,Aneurysm of heart
507,I72.3,Aneurysm of iliac artery
507,I72.8,Aneurysm of other specified arteries
507,I28.1,Aneurysm of pulmonary artery
507,I72.2,Aneurysm of renal artery
507,I72.9,Aneurysm of unspecified site
493,I20.9,"Angina pectoris, unspecified"
493,I20.1,Angina pectoris with documented spasm
533,K55.2,Angiodysplasia of colon
485,C86.5,Angioimmunoblastic T-cell lymphoma
417,C22.3,Angiosarcoma of liver
365,B83.2,Angiostrongyliasis due to Parastrongylus cantonensis
689,V80.4,Animl rider/occ injured collision hvy veh
689,V80.0,Animl-rider/occ injured fall from same w/o collision
689,V80.9,Animl rider/occ injured oth transp acc
689,V80.5,Animl-ridr or occ of anml-drn vehicle inj in clsn w mtr veh
689,V80.1,Animl-ridr or occ of anml-drn vehicle inj in clsn w ped/anml
689,V80.2,Animl-ridr or occ of anml-drn vehicle inj in clsn w pedl cyc
689,V80.3,Animl-ridr or occ of anml-drn veh inj in clsn w 2/3-whl mv
689,V80.7,Animl-ridr or occ of anml-drn veh inj in clsn w nonmtr veh
689,V80.6,Animl-ridr or occ of anml-drn veh inj in clsn w rail trn/veh
689,V80.8,Animl-ridr or occ of anml-drn veh inj in clsn w statnry obj
669,H52.3,Anisometropia and aniseikonia
641,Q38.1,Ankyloglossia
680,K03.5,Ankylosis of teeth
641,Q45.1,Annular pancreas
680,K00.0,Anodontia
393,A60.9,"Anogenital herpesviral infection, unspecified"
393,A63.0,Anogenital (venereal) warts
669,H57.0,Anomalies of pupillary function
641,Q26.5,Anomalous portal venous connection
641,Q26.4,"Anomalous pulmonary venous connection, unspecified"
641,Q34.0,Anomaly of pleura
641,Q84.3,Anonychia
541,K61.2,Anorectal abscess
541,K60.5,Anorectal fistula
572,F50.0,Anorexia nervosa
585,F50.0,Anorexia nervosa
367,O46.9,"Antepartum hemorrhage, unspecified"
367,O46.0,Antepartum hemorrhage with coagulation defect
494,G46.1,Anterior cerebral artery syndrome
408,A22.7,Anthrax sepsis
408,A22.9,"Anthrax, unspecified"
585,F60.2,Antisocial personality disorder
571,F41.9,"Anxiety disorder, unspecified"
585,F41.9,"Anxiety disorder, unspecified"
501,I71.8,"Aortic aneurysm of unspecified site, ruptured"
501,I71.9,"Aortic aneurysm of unspecified site, without rupture"
639,M31.4,Aortic arch syndrome [Takayasu]
507,I79.1,Aortitis in diseases classified elsewhere
641,Q21.4,Aortopulmonary septal defect
669,H27.0,Aphakia
613,D61.2,Aplastic anemia due to other external agents
613,D61.9,"Aplastic anemia, unspecified"
541,K38.1,Appendicular concretions
365,A96.9,"Arenaviral hemorrhagic fever, unspecified"
641,Q04.1,Arhinencephaly
641,Q07.0,Arnold-Chiari syndrome
680,K02.3,Arrested dental caries
507,I77.3,Arterial fibromuscular dysplasia
507,I77.0,"Arteriovenous fistula, acquired"
507,I28.0,Arteriovenous fistula of pulmonary vessels
641,Q28.2,Arteriovenous malformation of cerebral vessels
641,Q28.0,Arteriovenous malformation of precerebral vessels
641,Q27.3,Arteriovenous malformation (peripheral)
507,I77.6,"Arteritis, unspecified"
639,M00.8,Arthritis and polyarthritis due to other bacteria
641,Q74.3,Arthrogryposis multiplex congenita
639,M02.0,Arthropathy following intestinal bypass
639,M36.4,Arthropathy in hypersensitivity reactions classd elswhr
639,M36.1,Arthropathy in neoplastic disease
639,M36.3,Arthropathy in other blood disorders
337,A85.2,"Arthropod-borne viral encephalitis, unspecified"
360,B77.9,"Ascariasis, unspecified"
360,B77.0,Ascariasis with intestinal complications
360,B77.8,Ascariasis with other complications
575,F84.5,Asperger's syndrome
585,F84.5,Asperger's syndrome
708,Y84.4,"Aspiration of fluid cause abn react/compl, w/o misadvnt"
379,O74.0,Aspirat pneumonitis due to anesth during labor and delivery
724,X96.0,Assault by antipersonnel bomb
724,Y03.0,Assault by being hit or run over by motor vehicle
724,X92.2,Assault by drown after push into swimming pool
724,X92.3,Assault by drowning and submersion in natural water
724,X92.9,"Assault by drowning and submersion, unspecified"
724,X92.0,Assault by drowning and submersion while in bathtub
724,X92.1,Assault by drowning and submersion while in swimming pool
724,X96.3,Assault by fertilizer bomb
724,X95.0,"Assault by gas, air or spring-operated guns"
724,X96.1,Assault by gasoline bomb
724,X98.2,Assault by hot fluids
724,X98.3,Assault by hot household appliances
724,X98.1,Assault by hot tap water
724,Y04.1,Assault by human bite
724,X94.1,Assault by hunting rifle
724,X99.1,Assault by knife
724,X96.2,Assault by letter bomb
724,X94.2,Assault by machine gun
724,Y04.8,Assault by other bodily force
724,X95.8,Assault by other firearm discharge
724,X98.8,Assault by other hot objects
724,X94.8,Assault by other larger firearm discharge
724,X99.8,Assault by other sharp object
724,X96.8,Assault by other specified explosive
724,Y08.8,Assault by other specified means
724,X96.4,Assault by pipe bomb
724,Y02.0,Assault by push/place victim in front of motor vehicle
724,Y02.8,Assault by push/place victim in front of moving object
724,Y02.1,Assault by push/place victim in front of (subway) train
724,X99.0,Assault by sharp glass
724,X94.0,Assault by shotgun
724,X98.0,Assault by steam or hot vapors
724,Y04.2,Assault by strike against or bumped into by another person
724,Y08.0,Assault by strike by sport equipment
724,X99.2,Assault by sword or dagger
724,Y04.0,Assault by unarmed brawl or fight
724,X96.9,Assault by unspecified explosive
724,X95.9,Assault by unspecified firearm discharge
724,X98.9,Assault by unspecified hot objects
724,X94.9,Assault by unspecified larger firearm discharge
724,X99.9,Assault by unspecified sharp object
669,H52.2,Astigmatism
393,A52.2,Asymptomatic neurosyphilis
507,I83.9,Asymptomatic varicose veins of lower extremities
502,I70.2,Atherosclerosis of native arteries of the extremities
502,I70.8,Atherosclerosis of other arteries
493,I25.1,Atherosclerotic heart disease of native coronary artery
502,I70.4,Athscl autologous vein bypass graft(s) of the extremities
493,I25.7,Athscl CABG and cor art of transplanted heart w ang pctrs
502,I70.5,Athscl nonautologous bio bypass graft(s) of the extremities
502,I70.6,Athscl nonbiological bypass graft(s) of the extremities
502,I70.7,Athscl type of bypass graft(s) of the extremities
502,I70.3,Athscl unsp type bypass graft(s) of the extremities
641,Q25.2,Atresia of aorta
641,Q44.2,Atresia of bile ducts
641,Q39.0,Atresia of esophagus without fistula
641,Q39.1,Atresia of esophagus with tracheo-esophageal fistula
641,Q03.1,Atresia of foramina of Magendie and Luschka
641,Q25.5,Atresia of pulmonary artery
641,Q55.3,Atresia of vas deferens
641,Q21.1,Atrial septal defect
493,I23.1,Atrial septal defect as current complication following AMI
641,Q21.2,Atrioventricular septal defect
680,K08.2,Atrophy of edentulous alveolar ridge
594,N26.1,Atrophy of kidney (terminal)
680,K11.0,Atrophy of salivary gland
619,E03.4,Atrophy of thyroid (acquired)
680,K14.4,Atrophy of tongue papillae
370,O66.5,Attempted application of vacuum extractor and forceps
578,F90.2,"Attention-deficit hyperactivity disorder, combined type"
585,F90.2,"Attention-deficit hyperactivity disorder, combined type"
578,F90.8,"Attention-deficit hyperactivity disorder, other type"
585,F90.8,"Attention-deficit hyperactivity disorder, other type"
578,F90.9,"Attention-deficit hyperactivity disorder, unspecified type"
585,F90.9,"Attention-deficit hyperactivity disorder, unspecified type"
669,H72.1,Attic perforation of tympanic membrane
578,F90.1,"Attn-defct hyperactivity disorder, predom hyperactive type"
585,F90.1,"Attn-defct hyperactivity disorder, predom hyperactive type"
578,F90.0,"Attn-defct hyperactivity disorder, predom inattentive type"
585,F90.0,"Attn-defct hyperactivity disorder, predom inattentive type"
500,I48.4,Atypical atrial flutter
487,C92.2,"Atypical chronic myeloid leukemia, BCR/ABL-negative"
408,A81.9,"Atypical virus infection of central nervous system, unsp"
337,A83.4,Australian encephalitis
575,F84.0,Autistic disorder
585,F84.0,Autistic disorder
525,K75.4,Autoimmune hepatitis
619,E31.0,Autoimmune polyglandular failure
619,E06.3,Autoimmune thyroiditis
557,G90.4,Autonomic dysreflexia
729,X36.1,"Avalanche, landslide, or mudslide"
585,F60.6,Avoidant personality disorder
365,B60.0,Babesiosis
669,H35.0,Background retinopathy and retinal vascular changes
302,A05.9,"Bacterial foodborne intoxication, unspecified"
302,A04.9,"Bacterial intestinal infection, unspecified"
337,G04.2,"Bacterial meningoencephalitis and meningomyelitis, NEC"
383,P36.9,"Bacterial sepsis of newborn, unspecified"
520,J67.1,Bagassosis
641,Q95.2,Balanced autosomal rearrangement in abnormal individual
641,Q95.9,"Balanced rearrangement and structural marker, unspecified"
641,Q95.3,Balanced sex/autosomal rearrangement in abnormal individual
641,Q95.0,Balanced translocation and insertion in normal individual
318,A07.0,Balantidiasis
302,A07.0,Balantidiasis
594,N15.0,Balkan nephropathy
589,N15.0,Balkan nephropathy
695,V96.0,Balloon accident injuring occupant
541,K22.7,Barrett's esophagus
695,V94.1,Bather struck by watercraft
510,J63.1,Bauxite fibrosis (of lung)
639,M35.2,Behcet's disease
488,D35.0,Benign neoplasm of adrenal gland
441,D12.9,Benign neoplasm of anus and anal canal
488,D35.6,Benign neoplasm of aortic body and other paraganglia
441,D12.1,Benign neoplasm of appendix
441,D12.2,Benign neoplasm of ascending colon
474,D30.3,Benign neoplasm of bladder
488,D16.9,"Benign neoplasm of bone and articular cartilage, unspecified"
488,D16.4,Benign neoplasm of bones of skull and face
488,D33.1,"Benign neoplasm of brain, infratentorial"
488,D33.0,"Benign neoplasm of brain, supratentorial"
488,D33.2,"Benign neoplasm of brain, unspecified"
426,D14.3,Benign neoplasm of bronchus and lung
488,D35.5,Benign neoplasm of carotid body
441,D12.0,Benign neoplasm of cecum
488,D33.9,"Benign neoplasm of central nervous system, unspecified"
488,D32.0,Benign neoplasm of cerebral meninges
488,D31.3,Benign neoplasm of choroid
488,D31.4,Benign neoplasm of ciliary body
441,D12.6,"Benign neoplasm of colon, unspecified"
488,D31.0,Benign neoplasm of conjunctiva
488,D31.1,Benign neoplasm of cornea
488,D33.3,Benign neoplasm of cranial nerves
488,D35.3,Benign neoplasm of craniopharyngeal duct
441,D12.4,Benign neoplasm of descending colon
488,D13.2,Benign neoplasm of duodenum
488,D35.9,"Benign neoplasm of endocrine gland, unspecified"
456,D13.7,Benign neoplasm of endocrine pancreas
468,D29.3,Benign neoplasm of epididymis
411,D13.0,Benign neoplasm of esophagus
453,D13.5,Benign neoplasm of extrahepatic bile ducts
444,D10.2,Benign neoplasm of floor of mouth
488,D15.1,Benign neoplasm of heart
450,D10.7,Benign neoplasm of hypopharynx
488,D15.9,"Benign neoplasm of intrathoracic organ, unspecified"
471,D30.0,Benign neoplasm of kidney
488,D31.5,Benign neoplasm of lacrimal gland and duct
423,D14.1,Benign neoplasm of larynx
429,D24.2,Benign neoplasm of left breast
465,D27.1,Benign neoplasm of left ovary
444,D10.0,Benign neoplasm of lip
417,D13.4,Benign neoplasm of liver
488,D16.2,Benign neoplasm of long bones of lower limb
488,D16.5,Benign neoplasm of lower jaw bone
488,D36.0,Benign neoplasm of lymph nodes
444,D11.9,"Benign neoplasm of major salivary gland, unspecified"
488,D15.2,Benign neoplasm of mediastinum
488,D32.9,"Benign neoplasm of meninges, unspecified"
488,D14.0,"Benign neoplasm of mid ear, nasl cav and accessory sinuses"
447,D10.6,Benign neoplasm of nasopharynx
488,D13.3,Benign neoplasm of other and unsp parts of small intestine
444,D11.7,Benign neoplasm of other major salivary glands
444,D10.5,Benign neoplasm of other parts of oropharynx
488,D35.7,Benign neoplasm of other specified endocrine glands
488,D28.7,Benign neoplasm of other specified female genital organs
488,D15.7,Benign neoplasm of other specified intrathoracic organs
468,D29.8,Benign neoplasm of other specified male genital organs
488,D36.7,Benign neoplasm of other specified sites
488,D30.8,Benign neoplasm of other specified urinary organs
488,D33.7,Benign neoplasm of oth parts of central nervous system
456,D13.6,Benign neoplasm of pancreas
488,D35.1,Benign neoplasm of parathyroid gland
444,D11.0,Benign neoplasm of parotid gland
488,D16.8,"Benign neoplasm of pelvic bones, sacrum and coccyx"
488,D29.0,Benign neoplasm of penis
488,D35.4,Benign neoplasm of pineal gland
488,D35.2,Benign neoplasm of pituitary gland
438,D29.1,Benign neoplasm of prostate
488,D36.1,Benign neoplasm of prph nerves and autonomic nervous sys
441,D12.7,Benign neoplasm of rectosigmoid junction
441,D12.8,Benign neoplasm of rectum
471,D30.1,Benign neoplasm of renal pelvis
488,D31.2,Benign neoplasm of retina
