cause_id,icd10,icd10_name
727,X96.8,Assault by other specified explosive
727,Y08.8,Assault by other specified means
727,X96.4,Assault by pipe bomb
727,Y02.0,Assault by push/place victim in front of motor vehicle
727,Y02.8,Assault by push/place victim in front of moving object
727,Y02.1,Assault by push/place victim in front of (subway) train
726,X99.0,Assault by sharp glass
725,X94.0,Assault by shotgun
727,X98.0,Assault by steam or hot vapors
727,Y04.2,Assault by strike against or bumped into by another person
727,Y08.0,Assault by strike by sport equipment
726,X99.2,Assault by sword or dagger
727,Y04.0,Assault by unarmed brawl or fight
727,X96.9,Assault by unspecified explosive
725,X95.9,Assault by unspecified firearm discharge
727,X98.9,Assault by unspecified hot objects
725,X94.9,Assault by unspecified larger firearm discharge
726,X99.9,Assault by unspecified sharp object
394,A52.2,Asymptomatic neurosyphilis
643,Q25.2,Atresia of aorta
651,Q44.2,Atresia of bile ducts
651,Q39.0,Atresia of esophagus without fistula
651,Q39.1,Atresia of esophagus with tracheo-esophageal fistula
652,Q03.1,Atresia of foramina of Magendie and Luschka
643,Q25.5,Atresia of pulmonary artery
650,Q55.3,Atresia of vas deferens
643,Q21.1,Atrial septal defect
643,Q21.2,Atrioventricular septal defect
602,N26.1,Atrophy of kidney (terminal)
943,C92.2,"Atypical chronic myeloid leukemia, BCR/ABL-negative"
648,Q95.2,Balanced autosomal rearrangement in abnormal individual
648,Q95.9,"Balanced rearrangement and structural marker, unspecified"
648,Q95.3,Balanced sex/autosomal rearrangement in abnormal individual
648,Q95.0,Balanced translocation and insertion in normal individual
321,A07.0,Balantidiasis
595,N15.0,Balkan nephropathy
593,N15.0,Balkan nephropathy
514,J63.1,Bauxite fibrosis (of lung)
604,D28.2,Benign neoplasm of uterine tubes and ligaments
336,G03.2,Benign recurrent meningitis [Mollaret]
514,J63.2,Berylliosis
614,D56.1,Beta thalassemia
650,Q51.3,Bicornate uterus
711,W54.0,Bitten by dog
602,N32.0,Bladder-neck obstruction
652,Q13.5,Blue sclera
657,A66.6,Bone and joint lesions of yaws
495,G46.3,Brain stem stroke syndrome
668,L10.3,Brazilian pemphigus [fogo selvagem]
574,F50.2,Bulimia nervosa
668,L13.9,"Bullous disorder, unspecified"
668,L12.0,Bullous pemphigoid
693,V79.8,Bus occupant (driver) injured in oth transport accidents
693,V79.3,Bus occupant (driver) (passenger) injured in unsp nontraf
693,V79.9,Bus occupant (driver) (passenger) injured in unsp traf
849,D04.2,Ca in situ skin of ear and external auricular canal
596,N21.0,Calculus in bladder
596,N21.1,Calculus in urethra
596,N20.0,Calculus of kidney
596,N20.2,Calculus of kidney with calculus of ureter
596,N21.9,"Calculus of lower urinary tract, unspecified"
596,N20.1,Calculus of ureter
849,D04.1,"Carcinoma in situ of skin of eyelid, including canthus"
849,D04.0,Carcinoma in situ of skin of lip
849,D04.7,"Carcinoma in situ of skin of lower limb, including hip"
849,D04.3,Carcinoma in situ of skin of other and unsp parts of face
849,D04.8,Carcinoma in situ of skin of other sites
849,D04.4,Carcinoma in situ of skin of scalp and neck
849,D04.5,Carcinoma in situ of skin of trunk
849,D04.6,"Carcinoma in situ of skin of upper limb, including shoulder"
849,D04.9,"Carcinoma in situ of skin, unspecified"
944,I42.7,Cardiomyopathy due to drug and external agent
394,A52.0,Cardiovascular and cerebrovascular syphilis
693,V42.5,Car driver injured in collision w 2/3-whl mv in traf
693,V42.0,Car driver injured in collision w 2/3-whl mv nontraf
693,V44.5,Car driver injured in collision w hv veh in traffic accident
693,V44.0,Car driver injured in collision w hv veh nontraf
693,V46.5,Car driver injured in collision w nonmtr vehicle in traf
693,V46.0,Car driver injured in collision w nonmtr vehicle nontraf
693,V41.5,Car driver injured in collision w pedal cycle in traf
693,V41.0,Car driver injured in collision w pedal cycle nontraf
693,V40.5,Car driver injured in collision w ped/anml in traf
693,V40.0,Car driver injured in collision w ped/anml nontraf
693,V45.5,Car driver injured in collision w rail trn/veh in traf
693,V45.0,Car driver injured in collision w rail trn/veh nontraf
693,V47.5,Car driver injured in collision w statnry object in traf
693,V47.0,Car driver injured in collision w statnry object nontraf
693,V48.5,Car driver injured in nonclsn transport accident in traf
693,V48.0,Car driver injured in nonclsn transport accident nontraf
693,V43.5,"Car driver injured pick-up truck, pk-up/van in traf"
693,V43.0,"Car driver injured pick-up truck, pk-up/van nontraf"
693,V49.8,Car occupant (driver) injured in oth transport accidents
693,V49.3,Car occupant (driver) (passenger) injured in unsp nontraf
693,V49.9,Car occupant (driver) (passenger) injured in unsp traf
495,G45.1,Carotid artery syndrome (hemispheric)
693,V42.6,Car passenger injured in collision w 2/3-whl mv in traf
693,V42.1,Car passenger injured in collision w 2/3-whl mv nontraf
693,V44.6,Car passenger injured in collision w hv veh in traf
693,V44.1,Car passenger injured in collision w hv veh nontraf
693,V46.6,Car passenger injured in collision w nonmtr vehicle in traf
693,V46.1,Car passenger injured in collision w nonmtr vehicle nontraf
693,V41.6,Car passenger injured in collision w pedal cycle in traf
693,V41.1,Car passenger injured in collision w pedal cycle nontraf
693,V40.6,Car passenger injured in collision w ped/anml in traf
693,V40.1,Car passenger injured in collision w ped/anml nontraf
693,V45.6,Car passenger injured in collision w rail trn/veh in traf
693,V45.1,Car passenger injured in collision w rail trn/veh nontraf
693,V47.6,Car passenger injured in collision w statnry object in traf
693,V47.1,Car passenger injured in collision w statnry object nontraf
693,V48.6,Car passenger injured in nonclsn transport accident in traf
693,V48.1,Car passenger injured in nonclsn transport accident nontraf
693,V43.6,"Car passenger injured pick-up truck, pk-up/van in traf"
693,V43.1,"Car passenger injured pick-up truck, pk-up/van nontraf"
707,W23.0,"Caught, crushed, jammed, or pinched between moving objects"
707,W23.1,"Caught, crushed, jammed, or pinched betw stationary objects"
656,L03.2,Cellulitis and acute lymphangitis of face and neck
656,L03.0,Cellulitis and acute lymphangitis of finger and toe
656,L03.1,Cellulitis and acute lymphangitis of other parts of limb
656,L03.8,Cellulitis and acute lymphangitis of other sites
656,L03.3,Cellulitis and acute lymphangitis of trunk
656,L03.9,"Cellulitis and acute lymphangitis, unspecified"
495,G46.4,Cerebellar stroke syndrome
496,I67.1,"Cerebral aneurysm, nonruptured"
496,I68.2,Cerebral arteritis in other diseases classified elsewhere
495,I67.2,Cerebral atherosclerosis
495,I63.4,Cerebral infarction due to embolism of cerebral arteries
495,I63.1,Cerebral infarction due to embolism of precerebral arteries
495,I63.3,Cerebral infarction due to thrombosis of cerebral arteries
495,I63.0,Cerebral infarction due to thrombosis of precerb arteries
495,I63.9,"Cerebral infarction, unspecified"
495,I63.6,"Cerebral infrc due to cerebral venous thombos, nonpyogenic"
495,I63.5,Cerebral infrc due to unsp occls or stenosis of cerebral art
495,I63.2,Cerebral infrc due to unsp occls or stenosis of precerb art
649,Q76.5,Cervical rib
642,Q05.0,Cervical spina bifida with hydrocephalus
642,Q05.5,Cervical spina bifida without hydrocephalus
648,Q99.0,"Chimera 46, XX/46, XY"
395,A56.3,Chlamydial infection of anus and rectum
395,A56.2,"Chlamydial infection of genitourinary tract, unspecified"
395,A56.0,Chlamydial infection of lower genitourinary tract
395,A56.1,Chlamydial infection of pelviperitoneum and oth GU organs
395,A56.4,Chlamydial infection of pharynx
652,Q30.0,Choanal atresia
651,Q44.4,Choledochal cyst
649,Q77.3,Chondrodysplasia punctata
649,Q77.6,Chondroectodermal dysplasia
648,Q95.1,Chromosome inversion in normal individual
648,Q93.2,"Chromosome replaced with ring, dicentric or isochromosome"
618,D60.0,Chronic acquired pure red cell aplasia
668,L12.2,Chronic bullous disease of childhood
943,C95.1,Chronic leukemia of unspecified cell type
846,C91.1,Chronic lymphocytic leukemia of B-cell type
336,G03.1,Chronic meningitis
335,A39.3,Chronic meningococcemia
848,C92.1,"Chronic myeloid leukemia, BCR/ABL-positive"
943,C93.1,Chronic myelomonocytic leukemia
592,N03.7,Chronic nephritic syndrome w diffuse crescentic glomrlneph
592,N03.2,Chronic nephritic syndrome w diffuse membranous glomrlneph
592,N03.5,Chronic nephritic syndrome w diffuse mesangiocap glomrlneph
592,N03.6,Chronic nephritic syndrome with dense deposit disease
592,N03.0,Chronic nephritic syndrome with minor glomerular abnormality
592,N03.8,Chronic nephritic syndrome with other morphologic changes
592,N03.9,Chronic nephritic syndrome with unsp morphologic changes
592,N03.4,Chronic neph syndrome w diffuse endocaplry prolif glomrlneph
592,N03.3,Chronic neph syndrome w diffuse mesangial prolif glomrlneph
592,N03.1,Chronic neph syndrome w focal and seg glomerular lesions
595,N11.1,Chronic obstructive pyelonephritis
602,N41.1,Chronic prostatitis
595,N11.9,"Chronic tubulo-interstitial nephritis, unspecified"
668,L12.1,Cicatricial pemphigoid
644,Q37.4,Cleft hard and soft palate with bilateral cleft lip
644,Q37.5,Cleft hard and soft palate with unilateral cleft lip
644,Q35.1,Cleft hard palate
644,Q37.0,Cleft hard palate with bilateral cleft lip
644,Q35.5,Cleft hard palate with cleft soft palate
644,Q37.1,Cleft hard palate with unilateral cleft lip
644,Q36.0,"Cleft lip, bilateral"
644,Q36.1,"Cleft lip, median"
644,Q36.9,"Cleft lip, unilateral"
644,Q35.9,"Cleft palate, unspecified"
644,Q35.3,Cleft soft palate
644,Q37.2,Cleft soft palate with bilateral cleft lip
644,Q37.3,Cleft soft palate with unilateral cleft lip
644,Q35.7,Cleft uvula
643,Q25.1,Coarctation of aorta
563,F14.1,Cocaine abuse
563,F14.2,Cocaine dependence
563,F14.9,"Cocaine use, unspecified"
652,Q13.0,Coloboma of iris
652,Q12.2,Coloboma of lens
643,Q20.0,Common arterial trunk
608,N81.3,Complete uterovaginal prolapse
651,Q42.9,"Congen absence, atresia and stenosis of lg int, part unsp"
651,Q42.1,"Congen absence, atresia and stenosis of rectum w/o fistula"
651,Q41.9,"Congen absence, atresia and stenosis of sm int, part unsp"
650,Q51.7,Congen fistulae betw uterus and digestive and urinary tracts
650,Q55.5,Congenital absence and aplasia of penis
643,Q27.0,Congenital absence and hypoplasia of umbilical artery
652,Q89.0,Congenital absence and malformations of spleen
651,Q42.2,"Congenital absence, atresia and stenosis of anus w fistula"
651,Q42.3,"Congenital absence, atresia and stenosis of anus w/o fistula"
651,Q41.0,"Congenital absence, atresia and stenosis of duodenum"
651,Q41.2,"Congenital absence, atresia and stenosis of ileum"
651,Q41.1,"Congenital absence, atresia and stenosis of jejunum"
651,Q42.8,"Congenital absence, atresia and stenosis of prt lg int"
651,Q41.8,"Congenital absence, atresia and stenosis of prt sm int"
651,Q42.0,"Congenital absence, atresia and stenosis of rectum w fistula"
652,Q16.1,"Congenital absence, atresia and stricture of auditory canal"
650,Q64.5,Congenital absence of bladder and urethra
649,Q71.2,Congenital absence of both forearm and hand
649,Q72.2,Congenital absence of both lower leg and foot
652,Q83.0,Congenital absence of breast with absent nipple
652,Q16.0,Congenital absence of (ear) auricle
649,Q72.3,Congenital absence of foot and toe(s)
649,Q71.3,Congenital absence of hand and finger
650,Q50.0,Congenital absence of ovary
649,Q72.1,Congenital absence of thigh and lower leg with foot present
649,Q73.0,Congenital absence of unspecified limb(s)
649,Q71.1,Congenital absence of upper arm and forearm w hand present
650,Q52.0,Congenital absence of vagina
652,Q84.0,Congenital alopecia
652,Q12.3,Congenital aphakia
649,Q68.3,Congenital bowing of femur
649,Q68.5,"Congenital bowing of long bones of leg, unspecified"
649,Q68.4,Congenital bowing of tibia and fibula
652,Q33.4,Congenital bronchiectasis
652,Q32.2,Congenital bronchomalacia
652,Q80.3,Congenital bullous ichthyosiform erythroderma
652,Q12.0,Congenital cataract
652,Q04.6,Congenital cerebral cysts
650,Q54.4,Congenital chordee
649,Q72.0,Congenital complete absence of lower limb
649,Q71.0,Congenital complete absence of upper limb
649,Q67.1,Congenital compression facies
652,Q13.3,Congenital corneal opacity
652,Q33.0,Congenital cystic lung
652,Q34.1,Congenital cyst of mediastinum
649,Q66.9,"Congenital deformity of feet, unspecified"
649,Q68.1,Congenital deformity of finger(s) and hand
649,Q65.9,"Congenital deformity of hip, unspecified"
649,Q68.2,Congenital deformity of knee
649,Q67.5,Congenital deformity of spine
649,Q68.0,Congenital deformity of sternocleidomastoid muscle
651,Q79.0,Congenital diaphragmatic hernia
649,Q79.0,Congenital diaphragmatic hernia
651,Q39.5,Congenital dilatation of esophagus
649,Q65.1,"Congenital dislocation of hip, bilateral"
649,Q65.0,"Congenital dislocation of hip, unilateral"
649,Q65.2,"Congenital dislocation of hip, unspecified"
652,Q12.1,Congenital displaced lens
650,Q64.6,Congenital diverticulum of bladder
651,Q39.6,Congenital diverticulum of esophagus
618,D64.4,Congenital dyserythropoietic anemia
649,Q67.0,Congenital facial asymmetry
651,Q43.6,Congenital fistula of rectum and anus
652,Q15.0,Congenital glaucoma
643,Q24.6,Congenital heart block
651,Q40.1,Congenital hiatus hernia
652,Q03.9,"Congenital hydrocephalus, unspecified"
593,Q62.0,Congenital hydronephrosis
651,Q40.0,Congenital hypertrophic pyloric stenosis
652,Q33.6,Congenital hypoplasia and dysplasia of lung
652,Q80.9,"Congenital ichthyosis, unspecified"
643,Q23.1,Congenital insufficiency of aortic valve
652,Q31.5,Congenital laryngomalacia
652,Q12.9,"Congenital lens malformation, unspecified"
652,Q84.4,Congenital leukonychia
652,Q13.9,"Congenital malformation of anterior segment of eye, unsp"
643,Q23.9,"Congenital malformation of aortic and mitral valves, unsp"
649,Q76.9,"Congenital malformation of bony thorax, unspecified"
652,Q04.9,"Congenital malformation of brain, unspecified"
652,Q83.9,"Congenital malformation of breast, unspecified"
643,Q21.9,"Congenital malformation of cardiac septum, unspecified"
652,Q14.3,Congenital malformation of choroid
643,Q28.9,"Congenital malformation of circulatory system, unspecified"
650,Q52.6,Congenital malformation of clitoris
651,Q45.9,"Congenital malformation of digestive system, unspecified"
652,Q16.3,Congenital malformation of ear ossicles
652,Q17.9,"Congenital malformation of ear, unspecified"
651,Q39.9,"Congenital malformation of esophagus, unspecified"
652,Q15.9,"Congenital malformation of eye, unspecified"
652,Q18.9,"Congenital malformation of face and neck, unspecified"
650,Q52.9,"Congenital malformation of female genitalia, unspecified"
643,Q25.9,"Congenital malformation of great arteries, unspecified"
643,Q26.9,"Congenital malformation of great vein, unspecified"
643,Q24.9,"Congenital malformation of heart, unspecified"
652,Q16.5,Congenital malformation of inner ear
652,Q84.9,"Congenital malformation of integument, unspecified"
651,Q43.9,"Congenital malformation of intestine, unspecified"
650,Q63.9,"Congenital malformation of kidney, unspecified"
649,Q74.1,Congenital malformation of knee
652,Q31.9,"Congenital malformation of larynx, unspecified"
652,Q33.9,"Congenital malformation of lung, unspecified"
650,Q55.9,"Congenital malformation of male genital organ, unspecified"
649,Q79.9,"Congenital malformation of musculoskeletal system, unsp"
652,Q07.9,"Congenital malformation of nervous system, unspecified"
652,Q30.9,"Congenital malformation of nose, unspecified"
652,Q14.2,Congenital malformation of optic disc
652,Q10.7,Congenital malformation of orbit
643,Q27.9,"Congenital malformation of peripheral vascular system, unsp"
652,Q14.9,"Congenital malformation of posterior segment of eye, unsp"
652,Q34.9,"Congenital malformation of respiratory system, unspecified"
652,Q14.1,Congenital malformation of retina
652,Q82.9,"Congenital malformation of skin, unspecified"
649,Q75.9,"Congenital malformation of skull and face bones, unspecified"
652,Q06.9,"Congenital malformation of spinal cord, unspecified"
649,Q76.7,Congenital malformation of sternum
651,Q40.3,"Congenital malformation of stomach, unspecified"
643,Q22.9,"Congenital malformation of tricuspid valve, unspecified"
651,Q40.9,"Congenital malformation of upper alimentary tract, unsp"
650,Q64.9,"Congenital malformation of urinary system, unspecified"
650,Q51.9,"Congenital malformation of uterus and cervix, unspecified"
652,Q14.0,Congenital malformation of vitreous humor
652,Q89.1,Congenital malformations of adrenal gland
652,Q04.0,Congenital malformations of corpus callosum
651,Q43.3,Congenital malformations of intestinal fixation
651,Q38.0,"Congenital malformations of lips, not elsewhere classified"
652,Q89.2,Congenital malformations of other endocrine glands
651,Q38.5,"Congenital malformations of palate, not elsewhere classified"
651,Q38.4,Congenital malformations of salivary glands and ducts
648,Q87.3,Congenital malformation syndromes involving early overgrowth
648,Q87.2,Congenital malformation syndromes predom involving limbs
643,Q20.9,"Congenital malform of cardiac chambers and connections, unsp"
648,Q87.1,Congenital malform syndromes predom assoc w short stature
593,Q62.2,Congenital megaureter
649,Q66.2,Congenital metatarsus (primus) varus
643,Q23.3,Congenital mitral insufficiency
643,Q23.2,Congenital mitral stenosis
652,Q84.1,"Congenital morphological disturbances of hair, NEC"
652,Q82.5,Congenital non-neoplastic nevus
593,Q62.1,Congenital occlusion of ureter
651,Q45.2,Congenital pancreatic cyst
649,Q65.4,"Congenital partial dislocation of hip, bilateral"
649,Q65.3,"Congenital partial dislocation of hip, unilateral"
649,Q65.5,"Congenital partial dislocation of hip, unspecified"
652,Q30.3,Congenital perforated nasal septum
649,Q66.7,Congenital pes cavus
649,Q66.5,Congenital pes planus
651,Q38.7,Congenital pharyngeal pouch
643,Q27.4,Congenital phlebectasia
650,Q64.2,Congenital posterior urethral valves
643,Q22.2,Congenital pulmonary valve insufficiency
643,Q22.1,Congenital pulmonary valve stenosis
650,Q52.2,Congenital rectovaginal fistula
643,Q27.1,Congenital renal artery stenosis
593,Q61.0,Congenital renal cyst
650,P96.0,Congenital renal failure
649,Q76.3,Congenital scoliosis due to congenital bony malformation
649,Q76.2,Congenital spondylolisthesis
651,Q44.3,Congenital stenosis and stricture of bile ducts
651,Q39.3,Congenital stenosis and stricture of esophagus
652,Q10.5,Congenital stenosis and stricture of lacrimal duct
643,Q23.0,Congenital stenosis of aortic valve
652,Q32.3,Congenital stenosis of bronchus
643,Q26.0,Congenital stenosis of vena cava
643,Q24.4,Congenital subaortic stenosis
652,Q31.1,Congenital subglottic stenosis
394,A50.9,"Congenital syphilis, unspecified"
649,Q66.4,Congenital talipes calcaneovalgus
649,Q66.1,Congenital talipes calcaneovarus
649,Q66.0,Congenital talipes equinovarus
650,Q50.2,Congenital torsion of ovary
651,Q39.2,Congenital tracheo-esophageal fistula without atresia
652,Q32.0,Congenital tracheomalacia
643,Q22.4,Congenital tricuspid stenosis
934,P37.0,Congenital tuberculosis
649,Q65.6,Congenital unstable hip
650,Q55.7,Congenital vasocutaneous fistula
593,Q62.7,Congenital vesico-uretero-renal reflux
402,P35.3,Congenital viral hepatitis
652,Q16.9,"Congen malform of ear causing impairment of hearing, unsp"
648,Q87.0,Congen malform syndromes predom affecting facial appearance
652,Q89.4,Conjoined twins
618,D61.0,Constitutional aplastic anemia
711,W58.0,Contact with alligator
711,W55.0,Contact with cat
711,W61.3,Contact with chicken
707,W30.0,Contact with combine harvester
707,W46.1,Contact with contaminated hypodermic needle
711,W55.2,Contact with cow
711,W58.1,Contact with crocodile
711,W56.0,Contact with dolphin
711,W61.6,Contact with duck
707,W29.1,Contact with electric knife
707,W27.1,Contact with garden tool
711,W61.5,Contact with goose
707,W30.3,Contact with grain storage elevator
707,W30.2,Contact with hay derrick
711,W55.1,Contact with horse
707,W46.0,Contact with hypodermic needle
707,W27.4,Contact with kitchen utensil
707,W26.0,Contact with knife
707,W24.0,"Contact with lifting devices, not elsewhere classified"
711,W61.1,Contact with macaw
707,W31.1,Contact with metalworking machines
707,W31.0,Contact with mining and earth-drilling machinery
711,W53.0,Contact with mouse
707,W29.4,Contact with nail gun
707,W27.3,Contact with needle (sewing)
711,W62.0,Contact with nonvenomous frogs
711,W59.0,Contact with nonvenomous lizards
711,W59.1,Contact with nonvenomous snakes
711,W62.1,Contact with nonvenomous toads
711,W56.2,Contact with orca
711,W61.9,Contact with other birds
711,W56.5,Contact with other fish
711,W55.3,Contact with other hoof stock
711,W55.8,Contact with other mammals
711,W56.3,Contact with other marine mammals
707,W27.8,Contact with other nonpowered hand tool
711,W62.9,Contact with other nonvenomous amphibians
711,W56.8,Contact with other nonvenomous marine animals
711,W59.8,Contact with other nonvenomous reptiles
707,W29.2,Contact with other powered household machinery
711,W61.2,Contact with other psittacines
711,W53.8,Contact with other rodent
707,W30.8,Contact with other specified agricultural machinery
707,W31.8,Contact with other specified machinery
707,W27.5,Contact with paper-cutter
711,W61.0,Contact with parrot
711,W55.4,Contact with pig
707,W29.0,Contact with powered kitchen appliance
707,W31.2,Contact with powered woodworking and forming machines
707,W30.1,Contact with power take-off devices (PTO)
707,W31.3,Contact with prime movers
711,W55.5,Contact with raccoon
711,W53.1,Contact with rat
707,W27.2,Contact with scissors
711,W56.1,Contact with sea lion
711,W56.4,Contact with shark
711,W53.2,Contact with squirrel
707,W26.1,Contact with sword or dagger
707,W24.1,"Contact with transmission devices, not elsewhere classified"
711,W61.4,Contact with turkey
711,W59.2,Contact with turtles
707,W30.9,Contact with unspecified agricultural machinery
707,W31.9,Contact with unspecified machinery
707,W27.0,Contact with workbench tool
707,W29.8,Contact w oth powered powered hand tools and household mach
707,W29.3,Contact w powered garden and outdoor hand tools and mach
612,N83.1,Corpus luteum cyst
643,Q24.2,Cor triatriatum
649,Q75.1,Craniofacial dysostosis
642,Q00.1,Craniorachischisis
649,Q75.0,Craniosynostosis
657,L02.3,"Cutaneous abscess, furuncle and carbuncle of buttock"
657,L02.0,"Cutaneous abscess, furuncle and carbuncle of face"
657,L02.6,"Cutaneous abscess, furuncle and carbuncle of foot"
657,L02.5,"Cutaneous abscess, furuncle and carbuncle of hand"
657,L02.4,"Cutaneous abscess, furuncle and carbuncle of limb"
657,L02.1,"Cutaneous abscess, furuncle and carbuncle of neck"
