cause_id,cause_name,icd10_lookup_provided,icd10_ranges_expanded
341,Measles,B05-B05.9,"B05.0,B05.1,B05.2,B05.3,B05.4,B05.8,B05.9"
342,Varicella and herpes zoster,"B01-B02.9, P35.8","B01.0,B01.1,B01.2,B01.8,B01.9,B02.0,B02.1,B02.2,B02.3,B02.7,B02.8,B02.9,P35.8"
345,Malaria,B50-B53.8,"B50.0,B50.8,B50.9,B51.0,B51.8,B51.9,B52.0,B52.8,B52.9,B53.0,B53.1,B53.8"
346,Chagas disease,"B57-B57.5, K93.1","B57.0,B57.1,B57.2,B57.3,B57.4,B57.5"
347,Leishmaniasis,B55.0,B55.0
350,African trypanosomiasis,B56-B56.9,"B56.0,B56.1,B56.9"
351,Schistosomiasis,B65-B65.9,"B65.0,B65.1,B65.2,B65.3,B65.8,B65.9"
352,Cysticercosis,B69-B69.9,"B69.0,B69.1,B69.8,B69.9"
353,Cystic echinococcosis,"B67-B67.4, B67.8-B67.9","B67.8,B67.9,B67.0,B67.1,B67.2,B67.3,B67.4"
354,Lymphatic filariasis,B74,"B74.0,B74.1,B74.2,B74.3,B74.4,B74.8,B74.9"
355,Onchocerciasis,B73,"B73.0,B73.1"
356,Trachoma,A71,"A71.0,A71.1,A71.9"
358,Yellow fever,A95-A95.9,"A95.0,A95.1,A95.9"
359,Rabies,A82-A82.9,"A82.0,A82.1,A82.9"
360,Intestinal nematode infections,B77-B77.9,"B77.0,B77.8,B77.9"
364,Food-borne trematodiases,B66,"B66.0,B66.1,B66.2,B66.3,B66.4,B66.5,B66.8,B66.9"
365,Other neglected tropical diseases,"A68-A68.9, A69.2-A69.9, A75-A75.9, A77-A79.9, A92-A94.0, A96-A96.9, A98-A98.3, A98.5-A98.8, B33.0-B33.1, B60-B60.8, B67.5-B67.7, B70-B71.9, B74.3-B75, B83-B83.8, P37.1","A68.0,A68.1,A68.9,A69.2,A69.8,A69.9,A75.0,A75.1,A75.2,A75.3,A75.9,A77.0,A77.1,A77.2,A77.3,A77.4,A77.8,A77.9,A79.0,A79.1,A79.8,A79.9,A92.0,A92.1,A92.2,A92.3,A92.4,A92.8,A92.9,A93.0,A93.1,A93.2,A93.8,A96.0,A96.1,A96.2,A96.8,A96.9,A98.5,A98.8,A98.0,A98.1,A98.2,A98.3,B33.0,B33.1,B60.0,B60.1,B60.2,B60.8,B67.5,B67.6,B67.7,B70.0,B70.1,B71.0,B71.1,B71.8,B71.9,B74.3,B74.4,B74.8,B74.9,B83.0,B83.1,B83.2,B83.3,B83.4,B83.8,P37.1"
367,Maternal hemorrhage,"O20-O20.9, O43.2, O44-O46.9, O62-O62.9, O67-O67.9, O70, O72-O72.3","O20.0,O20.8,O20.9,O43.2,O44.0,O44.1,O45.0,O45.8,O45.9,O46.0,O46.8,O46.9,O62.0,O62.1,O62.2,O62.3,O62.4,O62.8,O62.9,O67.0,O67.8,O67.9,O70.0,O70.1,O70.2,O70.3,O70.4,O70.9,O72.0,O72.1,O72.2,O72.3"
368,Maternal sepsis and other maternal infections,"O23-O23.9, O85-O86.8, O91-O91.2","O23.0,O23.1,O23.2,O23.3,O23.4,O23.5,O23.9,O86.0,O86.1,O86.2,O86.4,O86.8,O91.0,O91.1,O91.2"
369,Maternal hypertensive disorders,O10-O16.9,"O10.0,O10.1,O10.2,O10.3,O10.4,O10.9,O11.1,O11.2,O11.3,O11.9,O12.0,O12.1,O12.2,O13.1,O13.2,O13.3,O13.9,O14.0,O14.1,O14.2,O14.9,O15.0,O15.1,O15.2,O15.9,O16.1,O16.2,O16.3,O16.9"
370,Maternal obstructed labor and uterine rupture,"O32-O33.9, O64-O66.9, O71-O71.9","O32.0,O32.1,O32.2,O32.3,O32.4,O32.6,O32.8,O32.9,O33.0,O33.1,O33.2,O33.3,O33.4,O33.5,O33.6,O33.7,O33.8,O33.9,O64.0,O64.1,O64.2,O64.3,O64.4,O64.5,O64.8,O64.9,O65.0,O65.1,O65.2,O65.3,O65.4,O65.5,O65.8,O65.9,O66.0,O66.1,O66.2,O66.3,O66.4,O66.5,O66.6,O66.8,O66.9,O71.0,O71.1,O71.2,O71.3,O71.4,O71.5,O71.6,O71.7,O71.8,O71.9"
371,"Maternal abortion, miscarriage, and ectopic pregnancy","N96, O00-O07.9","O00.0,O00.1,O00.2,O00.8,O00.9,O01.0,O01.1,O01.9,O02.0,O02.1,O02.8,O02.9,O03.0,O03.1,O03.2,O03.3,O03.4,O03.5,O03.6,O03.7,O03.8,O03.9,O04.5,O04.6,O04.7,O04.8,O07.0,O07.1,O07.2,O07.3,O07.4"
375,Indirect maternal deaths,"O24-O25.3, O98-O98.6, O98.8-O99.9","O24.0,O24.1,O24.3,O24.4,O24.8,O24.9,O25.1,O25.2,O25.3,O98.8,O98.9,O99.0,O99.1,O99.2,O99.3,O99.4,O99.5,O99.6,O99.7,O99.8,O98.0,O98.1,O98.2,O98.3,O98.4,O98.5,O98.6"
379,Other maternal disorders,"N98-N98.9, O09-O09.9, O21-O22.9, O26-O26.9, O28-O31.8, O34-O36.9, O40-O43.1, O43.8-O43.9, O47-O48.1, O60-O61.9, O63-O63.9, O68-O69.9, O70.0-O70.9, O73-O77.9, O80-O84.9, O87-O90.9, O92-O92.7","N98.0,N98.1,N98.2,N98.3,N98.8,N98.9,O09.0,O09.1,O09.2,O09.3,O09.4,O09.5,O09.6,O09.7,O09.8,O09.9,O21.0,O21.1,O21.2,O21.8,O21.9,O22.0,O22.1,O22.2,O22.3,O22.4,O22.5,O22.8,O22.9,O26.0,O26.1,O26.2,O26.3,O26.4,O26.5,O26.6,O26.7,O26.8,O26.9,O28.0,O28.1,O28.2,O28.3,O28.4,O28.5,O28.8,O28.9,O29.0,O29.1,O29.2,O29.3,O29.4,O29.5,O29.6,O29.8,O29.9,O30.0,O30.1,O30.2,O30.8,O30.9,O31.0,O31.1,O31.2,O31.3,O31.8,O34.0,O34.1,O34.2,O34.3,O34.4,O34.5,O34.6,O34.7,O34.8,O34.9,O35.0,O35.1,O35.2,O35.3,O35.4,O35.5,O35.6,O35.7,O35.8,O35.9,O36.0,O36.1,O36.2,O36.4,O36.5,O36.6,O36.7,O36.8,O36.9,O40.1,O40.2,O40.3,O40.9,O41.0,O41.1,O41.8,O41.9,O42.0,O42.1,O42.9,O43.0,O43.1,O43.8,O43.9,O47.0,O47.1,O47.9,O48.0,O48.1,O60.0,O60.1,O60.2,O61.0,O61.1,O61.8,O61.9,O63.0,O63.1,O63.2,O63.9,O69.0,O69.1,O69.2,O69.3,O69.4,O69.5,O69.8,O69.9,O70.0,O70.1,O70.2,O70.3,O70.4,O70.9,O73.0,O73.1,O74.0,O74.1,O74.2,O74.3,O74.4,O74.5,O74.6,O74.7,O74.8,O74.9,O75.0,O75.1,O75.2,O75.3,O75.4,O75.5,O75.8,O75.9,O77.0,O77.1,O77.8,O77.9,O87.0,O87.1,O87.2,O87.3,O87.4,O87.8,O87.9,O88.0,O88.1,O88.2,O88.3,O88.8,O89.0,O89.1,O89.2,O89.3,O89.4,O89.5,O89.6,O89.8,O89.9,O90.0,O90.1,O90.2,O90.3,O90.4,O90.5,O90.6,O90.8,O90.9,O92.0,O92.1,O92.2,O92.3,O92.4,O92.5,O92.6,O92.7"
381,Neonatal preterm birth complications,"P01.0-P01.1, P07-P07.3, P22-P22.9, P25-P28.9, P61.2, P77-P77.9","P01.0,P01.1,P07.0,P07.1,P07.2,P07.3,P22.0,P22.1,P22.8,P22.9,P25.0,P25.1,P25.2,P25.3,P25.8,P26.0,P26.1,P26.8,P26.9,P27.0,P27.1,P27.8,P27.9,P28.0,P28.1,P28.2,P28.3,P28.4,P28.5,P28.8,P28.9,P61.2,P77.1,P77.2,P77.3,P77.9"
382,Neonatal encephalopathy due to birth asphyxia and trauma,"P01.7, P02-P03.9, P10-P15.9, P20-P21.9, P24-P24.9, P90-P91.9","P01.7,P02.0,P02.1,P02.2,P02.3,P02.4,P02.5,P02.6,P02.7,P02.8,P02.9,P03.0,P03.1,P03.2,P03.3,P03.4,P03.5,P03.6,P03.8,P03.9,P10.0,P10.1,P10.2,P10.3,P10.4,P10.8,P10.9,P11.0,P11.1,P11.2,P11.3,P11.4,P11.5,P11.9,P12.0,P12.1,P12.2,P12.3,P12.4,P12.8,P12.9,P13.0,P13.1,P13.2,P13.3,P13.4,P13.8,P13.9,P14.0,P14.1,P14.2,P14.3,P14.8,P14.9,P15.0,P15.1,P15.2,P15.3,P15.4,P15.5,P15.6,P15.8,P15.9,P24.0,P24.1,P24.2,P24.3,P24.8,P24.9,P91.0,P91.1,P91.2,P91.3,P91.4,P91.5,P91.6,P91.8,P91.9"
383,Neonatal sepsis and other neonatal infections,"P36-P36.9, P38-P39.9","P36.0,P36.1,P36.2,P36.3,P36.4,P36.5,P36.8,P36.9,P38.1,P38.9,P39.0,P39.1,P39.2,P39.3,P39.4,P39.8,P39.9"
384,Hemolytic disease and other neonatal jaundice,P55-P59.9,"P55.0,P55.1,P55.8,P55.9,P56.0,P56.9,P57.0,P57.8,P57.9,P58.0,P58.1,P58.2,P58.3,P58.4,P58.5,P58.8,P58.9,P59.0,P59.1,P59.2,P59.3,P59.8,P59.9"
385,Other neonatal disorders,"P00-P01, P01.2-P01.6, P01.8-P01.9, P04-P04.2, P04.5-P05.9, P08-P09, P19-P19.9, P29-P29.9, P50-P54.9, P60-P61.1, P61.3-P61.9, P70, P70.3-P72.9, P74-P76.9, P78-P78.9, P80-P81.9, P83-P84, P92-P94.9, P96, P96.3-P96.4, P96.8","P00.0,P00.1,P00.2,P00.3,P00.4,P00.5,P00.6,P00.7,P00.8,P00.9,P01.0,P01.1,P01.2,P01.3,P01.4,P01.5,P01.6,P01.7,P01.8,P01.9,P01.2,P01.3,P01.4,P01.5,P01.6,P01.8,P01.9,P04.5,P04.6,P04.8,P04.9,P05.0,P05.1,P05.2,P05.9,P04.0,P04.1,P04.2,P08.0,P08.1,P08.2,P19.0,P19.1,P19.2,P19.9,P29.0,P29.1,P29.2,P29.3,P29.4,P29.8,P29.9,P50.0,P50.1,P50.2,P50.3,P50.4,P50.5,P50.8,P50.9,P51.0,P51.8,P51.9,P52.0,P52.1,P52.2,P52.3,P52.4,P52.5,P52.6,P52.8,P52.9,P54.0,P54.1,P54.2,P54.3,P54.4,P54.5,P54.6,P54.8,P54.9,P61.0,P61.1,P61.3,P61.4,P61.5,P61.6,P61.8,P61.9,P70.0,P70.1,P70.2,P70.3,P70.4,P70.8,P70.9,P70.3,P70.4,P70.8,P70.9,P71.0,P71.1,P71.2,P71.3,P71.4,P71.8,P71.9,P72.0,P72.1,P72.2,P72.8,P72.9,P74.0,P74.1,P74.2,P74.3,P74.4,P74.5,P74.6,P74.8,P74.9,P76.0,P76.1,P76.2,P76.8,P76.9,P78.0,P78.1,P78.2,P78.3,P78.8,P78.9,P80.0,P80.8,P80.9,P81.0,P81.8,P81.9,P83.0,P83.1,P83.2,P83.3,P83.4,P83.5,P83.6,P83.8,P83.9,P92.0,P92.1,P92.2,P92.3,P92.4,P92.5,P92.6,P92.8,P92.9,P93.0,P93.8,P94.0,P94.1,P94.2,P94.8,P94.9,P96.0,P96.1,P96.2,P96.3,P96.5,P96.8,P96.9,P96.3,P96.8"
387,Protein-energy malnutrition,"E40-E46.9, E64.0","E44.0,E44.1,E64.0"
388,Iodine deficiency,E00-E02,"E00.0,E00.1,E00.2,E00.9,E01.0,E01.1,E01.2,E01.8"
389,Vitamin A deficiency,E50,"E50.0,E50.1,E50.2,E50.3,E50.4,E50.5,E50.6,E50.7,E50.8,E50.9"
390,Iron-deficiency anemia,D50.1-D50.8,"D50.1,D50.8"
391,Other nutritional deficiencies,"D51-D52.0, D52.8-D53.9, D64.3, E51-E61.9, E63-E64, E64.2-E64.3, M12.1","D51.0,D51.1,D51.2,D51.3,D51.8,D51.9,D52.0,D52.8,D52.9,D53.0,D53.1,D53.2,D53.8,D53.9,D64.3,E51.1,E51.2,E51.8,E51.9,E53.0,E53.1,E53.8,E53.9,E55.0,E55.9,E56.0,E56.1,E56.8,E56.9,E61.0,E61.1,E61.2,E61.3,E61.4,E61.5,E61.6,E61.7,E61.8,E61.9,E63.0,E63.1,E63.8,E63.9,E64.0,E64.1,E64.2,E64.3,E64.8,E64.9,E64.2,E64.3,M12.1"
393,Sexually transmitted diseases excluding HIV,"A50-A58, A60-A60.9, A63-A63.8, B63, I98.0, K67.0-K67.2, M03.1, M73.0-M73.1","A50.0,A50.1,A50.2,A50.3,A50.4,A50.5,A50.6,A50.7,A50.9,A51.0,A51.1,A51.2,A51.3,A51.4,A51.5,A51.9,A52.0,A52.1,A52.2,A52.3,A52.7,A52.8,A52.9,A53.0,A53.9,A54.0,A54.1,A54.2,A54.3,A54.4,A54.5,A54.6,A54.8,A54.9,A56.0,A56.1,A56.2,A56.3,A56.4,A56.8,A60.0,A60.1,A60.9,A63.0,A63.8"
400,Hepatitis,"B15-B17.9, B19-B19.9, B94.2, K71.2, K71.6, P35.3","B15.0,B15.9,B16.0,B16.1,B16.2,B16.9,B17.0,B17.1,B17.2,B17.8,B17.9,B19.0,B19.1,B19.2,B19.9,B94.2,K71.2,K71.6,P35.3"
405,Leprosy,A30-A30.9,"A30.0,A30.1,A30.2,A30.3,A30.4,A30.5,A30.8,A30.9"
408,Other infectious diseases,"A20-A28.9, A32-A32.9, A38-A38.9, A48.2, A48.4-A48.5, A49.1, A65-A65.0, A69-A69.1, A74, A74.8-A74.9, A80-A81.9, A88-A89.9, B00-B00.9, B03-B04, B06-B06.9, B10-B10.8, B25-B27.9, B29.4, B33, B33.3-B33.8, B47-B48.8, B91, B95-B95.5, G14-G14.6, I00, I02, I02.9, I98.1, J02.0, J03.0, K67.8, K74.7-K74.8, K75.3, K76.3, K77.0, M49.1, M89.6, P35-P35.2, P35.9, P37, P37.2, P37.5-P37.9, U82-U84, U85-U89, Z16-Z16.3","A20.0,A20.1,A20.2,A20.3,A20.7,A20.8,A20.9,A21.0,A21.1,A21.2,A21.3,A21.7,A21.8,A21.9,A22.0,A22.1,A22.2,A22.7,A22.8,A22.9,A23.0,A23.1,A23.2,A23.3,A23.8,A23.9,A24.0,A24.1,A24.2,A24.3,A24.9,A25.0,A25.1,A25.9,A26.0,A26.7,A26.8,A26.9,A27.0,A27.8,A27.9,A28.0,A28.1,A28.2,A28.8,A28.9,A32.0,A32.1,A32.7,A32.8,A32.9,A38.0,A38.1,A38.8,A38.9,A48.2,A48.4,A48.5,A49.1,A69.0,A69.1,A74.0,A74.8,A74.9,A74.8,A74.9,A80.0,A80.1,A80.2,A80.3,A80.4,A80.9,A81.0,A81.1,A81.2,A81.8,A81.9,A88.0,A88.1,A88.8,B00.0,B00.1,B00.2,B00.3,B00.4,B00.5,B00.7,B00.8,B00.9,B06.0,B06.8,B06.9,B10.0,B10.8,B25.0,B25.1,B25.2,B25.8,B25.9,B26.0,B26.1,B26.2,B26.3,B26.8,B26.9,B27.0,B27.1,B27.8,B27.9,B33.0,B33.1,B33.2,B33.3,B33.4,B33.8,B33.3,B33.4,B33.8,B47.0,B47.1,B47.9,B48.0,B48.1,B48.2,B48.3,B48.4,B48.8,B95.0,B95.1,B95.2,B95.3,B95.4,B95.5,I02.0,I02.9,I02.9,J02.0,J03.0,K75.3,K76.3,M89.6,P35.9,P35.0,P35.1,P35.2,P37.0,P37.1,P37.2,P37.3,P37.4,P37.5,P37.8,P37.9,P37.2,P37.5,P37.8,P37.9,Z16.1,Z16.2,Z16.3"
411,Esophageal cancer,"C15-C15.9, D00.1, D13.0","C15.3,C15.4,C15.5,C15.8,C15.9,D00.1,D13.0"
414,Stomach cancer,"C16-C16.9, D00.2, D13.1, D37.1","C16.0,C16.1,C16.2,C16.3,C16.4,C16.5,C16.6,C16.8,C16.9,D00.2,D13.1,D37.1"
417,Liver cancer,"C22-C22.9, D13.4","C22.0,C22.1,C22.2,C22.3,C22.4,C22.7,C22.8,C22.9,D13.4"
423,Larynx cancer,"C32-C32.9, D02.0, D14.1, D38.0","C32.0,C32.1,C32.2,C32.3,C32.8,C32.9,D02.0,D14.1,D38.0"
426,"Tracheal, bronchus, and lung cancer","C33-C34.9, D02.1-D02.3, D14.2-D14.3, D38.1","C34.0,C34.1,C34.2,C34.3,C34.8,C34.9,D02.1,D02.2,D02.3,D14.2,D14.3,D38.1"
429,Breast cancer,"C50-C50.9, D05-D05.9, D24-D24.9, D48.6, D49.3, N60-N60.9","C50.0,C50.1,C50.2,C50.3,C50.4,C50.5,C50.6,C50.8,C50.9,D05.0,D05.1,D05.8,D05.9,D24.1,D24.2,D24.9,D48.6,D49.3,N60.0,N60.1,N60.2,N60.3,N60.4,N60.8,N60.9"
432,Cervical cancer,"C53-C53.9, D06-D06.9, D26.0","C53.0,C53.1,C53.8,C53.9,D06.0,D06.1,D06.7,D06.9,D26.0"
435,Uterine cancer,"C54-C54.9, D07.0-D07.2, N87-N87.9","C54.0,C54.1,C54.2,C54.3,C54.8,C54.9,D07.0,D07.1,D07.2,N87.0,N87.1,N87.9"
438,Prostate cancer,"C61-C61.9, D07.5, D29.1, D40.0","D07.5,D29.1,D40.0"
441,Colon and rectum cancer,"C18-C21.9, D01.0-D01.3, D12-D12.9, D37.3-D37.5","C18.0,C18.1,C18.2,C18.3,C18.4,C18.5,C18.6,C18.7,C18.8,C18.9,C21.0,C21.1,C21.2,C21.8,D01.0,D01.1,D01.2,D01.3,D12.0,D12.1,D12.2,D12.3,D12.4,D12.5,D12.6,D12.7,D12.8,D12.9,D37.3,D37.4,D37.5"
444,Lip and oral cavity cancer,"C00-C08.9, D10.0-D10.5, D11-D11.9","C00.0,C00.1,C00.2,C00.3,C00.4,C00.5,C00.6,C00.8,C00.9,C02.0,C02.1,C02.2,C02.3,C02.4,C02.8,C02.9,C03.0,C03.1,C03.9,C04.0,C04.1,C04.8,C04.9,C05.0,C05.1,C05.2,C05.8,C05.9,C06.0,C06.1,C06.2,C06.8,C06.9,C08.0,C08.1,C08.9,D10.0,D10.1,D10.2,D10.3,D10.4,D10.5,D11.0,D11.7,D11.9"
447,Nasopharynx cancer,"C11-C11.9, D10.6","C11.0,C11.1,C11.2,C11.3,C11.8,C11.9,D10.6"
450,Other pharynx cancer,"C09-C10.9, C12-C13.9, D10.7","C09.0,C09.1,C09.8,C09.9,C10.0,C10.1,C10.2,C10.3,C10.4,C10.8,C10.9,C13.0,C13.1,C13.2,C13.8,C13.9,D10.7"
453,Gallbladder and biliary tract cancer,"C23-C24.9, D13.5","C24.0,C24.1,C24.8,C24.9,D13.5"
456,Pancreatic cancer,"C25-C25.9, D13.6-D13.7","C25.0,C25.1,C25.2,C25.3,C25.4,C25.7,C25.8,C25.9,D13.6,D13.7"
459,Malignant skin melanoma,"C43-C43.9, D03-D03.9, D22-D23.9, D48.5","C43.0,C43.1,C43.2,C43.3,C43.4,C43.5,C43.6,C43.7,C43.8,C43.9,D03.0,D03.1,D03.2,D03.3,D03.4,D03.5,D03.6,D03.7,D03.8,D03.9,D22.0,D22.1,D22.2,D22.3,D22.4,D22.5,D22.6,D22.7,D22.9,D23.0,D23.1,D23.2,D23.3,D23.4,D23.5,D23.6,D23.7,D23.9,D48.5"
462,Non-melanoma skin cancer,"C44-C44.9, D04-D04.9, D49.2","C44.0,C44.1,C44.2,C44.3,C44.4,C44.5,C44.6,C44.7,C44.8,C44.9,D04.0,D04.1,D04.2,D04.3,D04.4,D04.5,D04.6,D04.7,D04.8,D04.9,D49.2"
465,Ovarian cancer,"C56-C56.9, D27-D27.9, D39.1","C56.1,C56.2,C56.9,D27.0,D27.1,D27.9,D39.1"
468,Testicular cancer,"C62-C62.9, D29.2-D29.8, D40.1-D40.8","C62.0,C62.1,C62.9,D29.2,D29.3,D29.4,D29.8,D40.1,D40.8"
471,Kidney cancer,"C64-C65.9, D30.0-D30.1, D41.0-D41.1","C64.1,C64.2,C64.9,C65.1,C65.2,C65.9,D30.0,D30.1,D41.0,D41.1"
474,Bladder cancer,"C67-C67.9, D09.0, D30.3, D41.4-D41.8, D49.4","C67.0,C67.1,C67.2,C67.3,C67.4,C67.5,C67.6,C67.7,C67.8,C67.9,D09.0,D30.3,D41.4,D41.8,D49.4"
477,Brain and nervous system cancer,C70-C72.9,"C70.0,C70.1,C70.9,C71.0,C71.1,C71.2,C71.3,C71.4,C71.5,C71.6,C71.7,C71.8,C71.9,C72.0,C72.1,C72.2,C72.3,C72.4,C72.5,C72.9"
480,Thyroid cancer,"C73-C73.9, D09.3, D09.8, D34-D34.9, D44.0","D09.3,D09.8,D44.0"
483,Mesothelioma,C45-C45.9,"C45.0,C45.1,C45.2,C45.7,C45.9"
484,Hodgkin lymphoma,C81-C81.9,"C81.0,C81.1,C81.2,C81.3,C81.4,C81.7,C81.9"
485,Non-Hodgkin lymphoma,"C82-C86.6, C96-C96.9","C82.0,C82.1,C82.2,C82.3,C82.4,C82.5,C82.6,C82.8,C82.9,C83.0,C83.1,C83.3,C83.5,C83.7,C83.8,C83.9,C84.0,C84.1,C84.4,C84.6,C84.7,C84.9,C85.1,C85.2,C85.8,C85.9,C86.0,C86.1,C86.2,C86.3,C86.4,C86.5,C86.6,C96.0,C96.2,C96.4,C96.5,C96.6,C96.9"
486,Multiple myeloma,C88-C90.9,"C88.0,C88.2,C88.3,C88.4,C88.8,C88.9,C90.0,C90.1,C90.2,C90.3"
487,Leukemia,C91-C95.9,"C91.0,C91.1,C91.3,C91.4,C91.5,C91.6,C91.9,C92.0,C92.1,C92.2,C92.3,C92.4,C92.5,C92.6,C92.9,C93.0,C93.1,C93.3,C93.9,C94.0,C94.2,C94.3,C94.4,C94.6,C94.8,C95.0,C95.1,C95.9"
488,Other neoplasms,"C17-C17.9, C30-C31.9, C37-C38.8, C40-C41.9, C47-C4A, C51-C52.9, C57-C57.8, C58-C58.0, C60-C60.9, C63-C63.8, C66-C66.9, C68.0-C68.8, C69-C69.9, C74-C75.8, D07.4, D09.2, D13.2-D13.3, D14.0, D15-D16.9, D28.0-D28.1, D28.7, D29.0, D30.2, D30.4-D30.8, D31-D33.9, D35-D36, D36.1-D36.7, D37.2, D38.2-D38.5, D39.2, D39.8, D41.2-D41.3, D42-D43.9, D44.1-D44.8, D45-D47.0, D47.2-D47.9, D48.0-D48.4, D49.6, K31.7, K62.0-K62.1, K63.5, N84.0-N84.1","C17.0,C17.1,C17.2,C17.3,C17.8,C17.9,C30.0,C30.1,C31.0,C31.1,C31.2,C31.3,C31.8,C31.9,C38.0,C38.1,C38.2,C38.3,C38.4,C38.8,C40.0,C40.1,C40.2,C40.3,C40.8,C40.9,C41.0,C41.1,C41.2,C41.3,C41.4,C41.9,C47.0,C47.1,C47.2,C47.3,C47.4,C47.5,C47.6,C47.8,C47.9,C48.0,C48.1,C48.2,C48.8,C51.0,C51.1,C51.2,C51.8,C51.9,C57.0,C57.1,C57.2,C57.3,C57.4,C57.7,C57.8,C60.0,C60.1,C60.2,C60.8,C60.9,C63.0,C63.1,C63.2,C63.7,C63.8,C66.1,C66.2,C66.9,C68.0,C68.1,C68.8,C69.0,C69.1,C69.2,C69.3,C69.4,C69.5,C69.6,C69.8,C69.9,C74.0,C74.1,C74.9,C75.0,C75.1,C75.2,C75.3,C75.4,C75.5,C75.8,D07.4,D09.2,D13.2,D13.3,D14.0,D15.0,D15.1,D15.2,D15.7,D15.9,D16.0,D16.1,D16.2,D16.3,D16.4,D16.5,D16.6,D16.7,D16.8,D16.9,D28.0,D28.1,D28.7,D29.0,D30.2,D30.4,D30.8,D31.0,D31.1,D31.2,D31.3,D31.4,D31.5,D31.6,D31.9,D32.0,D32.1,D32.9,D33.0,D33.1,D33.2,D33.3,D33.4,D33.7,D33.9,D35.0,D35.1,D35.2,D35.3,D35.4,D35.5,D35.6,D35.7,D35.9,D36.0,D36.1,D36.7,D36.9,D36.1,D36.7,D37.2,D38.2,D38.3,D38.4,D38.5,D39.2,D39.8,D41.2,D41.3,D42.0,D42.1,D42.9,D43.0,D43.1,D43.2,D43.3,D43.4,D43.8,D43.9,D44.1,D44.2,D44.3,D44.4,D44.5,D44.6,D44.7,D46.0,D46.1,D46.2,D46.4,D46.9,D47.0,D47.2,D47.3,D47.4,D47.9,D48.0,D48.1,D48.2,D48.3,D48.4,D49.6,K31.7,K62.0,K62.1,K63.5,N84.0,N84.1"
